title,rate,id
狗不穿裤子,6.1,30352696
212号房间,7.4,30458008
大天蓬,5.6,33412928
快进者,4.7,34926591
二之国,5.4,30456649
天真派：红楼梦之桃花诗社,5.8,33434848
北京女子图鉴之助理女王,5.7,34430056
犬鸣村,6.3,30408298
卡丁赛车王,6.3,34978713
慕伶，一鸣，伟明,7.4,26752564
舞出我人生之舞所不能,5.3,26921076
毕业的我们,4.9,34793524
贞子,4.1,30158830
地狱厨房,5.5,26977362
来者何人,5.6,30234426
看不见的小孩,4.4,30290872
冬季浪漫故事,5.7,6538867
银河英雄传说 Die Neue These 星乱 第1章,9.0,27149654
与魔鬼同行,5.8,30170213
快递员,5.3,30366385
极右青年,6.4,34851378
圣诞恋爱季,6.6,34851342
超人死而复生,6.8,34845738
野王,5.6,30424207
大地震,5.9,34800551
要做两次吗？,5.6,30345198
六连煞,4.8,27169438
我的拳王男友,4.6,27132180
猛鬼故事,5.5,33413733
安娜,6.5,27040158
我们的家园,6.9,34661071
少年与海,7.3,30414283
国之语音,6.1,26946509
你失去的部分,6.7,26385739
只有我没有猫,6.8,34781677
小小恋歌,6.5,30230132
瞌睡的磐音,6.7,30174426
捉仙记,5.2,34444225
狙击手,4.5,30413195
龙之心：致命复仇,4.4,34960187
多米诺骨牌,5.2,27036731
圣诞前夕的骑士,5.4,33159421
巴拉,6.8,34892447
朽木,6.4,27164161
逃离生存营,5.5,34996609
白烂贱客2,5.7,27043939
金陵神捕,5.9,34834828
锅盖头4：回归法制,5.5,34785746
零号犯人,4.8,30469287
平行世界·爱情故事,5.3,30166706
冠军的心,4.5,26587411
